;tAtm;Prec;rSoil;rRoot;hCritA;rB;hB;ht;tTop;tBot;Ampl;RootDepth;date
1;1;0,0;0,4085428108871912;0,059543288309921824;15000;0;0;0;23,8;0;4,199999999999999;0;2018-06-15
2;2;0,52;0,5432435511558825;0,07917531902895768;15000;0;0;0;25,2;0;5,800000000000001;0;2018-06-16
3;3;0,0;0,5081679640059247;0,07406320900608318;15000;0;0;0;24,9;0;5,1;0;2018-06-17
4;4;0,0;0,5550419457841471;0,08089488230170114;15000;0;0;0;24,75;0;5,449999999999999;0;2018-06-18
5;5;0,0;0,5956230387864042;0,0868093951903696;15000;0;0;0;24,6;0;5,200000000000001;0;2018-06-19
6;6;0,0;0,5698863079314399;0,08305838172344768;15000;0;0;0;24,3;0;4,699999999999999;0;2018-06-20
7;7;0,0;0,49793502075388796;0,07257180327312723;15000;0;0;0;24,0;0;4,0;0;2018-06-21
8;8;0,0;0,40323492877849;0,05876968822128696;15000;0;0;0;23,8;0;4,800000000000001;0;2018-06-22
9;9;0,08;0,4139371098367798;0,06032948326679247;15000;0;0;0;24,0;0;4,600000000000001;0;2018-06-23
10;10;0,38;0,41943307840837996;0,06113049611656066;15000;0;0;0;23,7;0;4,699999999999999;0;2018-06-24
11;11;0,0;0,4523943288320331;0,06593445101364742;15000;0;0;0;23,8;0;5,0;0;2018-06-25
12;12;0,0;0,4451365535345423;0,06487666270967835;15000;0;0;0;23,7;0;4,300000000000001;0;2018-06-26
13;13;0,0;0,5022662890890349;0,07320306627018558;15000;0;0;0;24,0;0;4,600000000000001;0;2018-06-27
14;14;0,0;0,33288856288393753;0,04851701987321712;15000;0;0;0;23,0;0;3,8000000000000007;0;2018-06-28
15;15;0,0;0,30551472904229204;0,04452740596460019;15000;0;0;0;22,4;0;3,200000000000001;0;2018-06-29
16;16;0,0;0,3786931662079849;0,05519283603975944;15000;0;0;0;23,3;0;4,5;0;2018-06-30
17;17;0,0;0,43028437547653126;0,06271202415388538;15000;0;0;0;23,6;0;3,799999999999999;0;2018-07-01
18;18;0,0;0,3074136301867273;0,04480416231742797;15000;0;0;0;23,700000000000003;0;4,1;0;2018-07-02
19;19;0,0;0,5582185175250185;0,08135785343217608;15000;0;0;0;25,0;0;5,199999999999999;0;2018-07-03
20;20;0,0;0,5134886270085879;0,07483867185287646;15000;0;0;0;24,7;0;5,300000000000001;0;2018-07-04
21;21;0,0;0,4474171658450623;0,06520905175853606;15000;0;0;0;23,5;0;5,5;0;2018-07-05
22;22;0,0;0,5460599217330231;0,07958579245008603;15000;0;0;0;24,4;0;5,200000000000001;0;2018-07-06
23;23;0,0;0,37643669926379675;0,054863966070103555;15000;0;0;0;23,4;0;3,200000000000001;0;2018-07-07
24;24;1,1199999999999999;0,3238322997883495;0,047197110012754534;15000;0;0;0;23,3;0;3,6999999999999993;0;2018-07-08
25;25;0,08;0,36586810107251366;0,053323640130286565;15000;0;0;0;23,7;0;4,300000000000001;0;2018-07-09
26;26;1,28;0,39710226573574825;0,057875879998671075;15000;0;0;0;23,4;0;3,799999999999999;0;2018-07-10
27;27;3,08;0,3790827853562482;0,05524962128883952;15000;0;0;0;23,4;0;4,0;0;2018-07-11
28;28;0,0;0,32527224819671424;0,04740697605603279;15000;0;0;0;22,8;0;3,8000000000000007;0;2018-07-12
29;29;0,0;0,3588309770124722;0,05229801075776179;15000;0;0;0;23,0;0;3,1999999999999993;0;2018-07-13
30;30;0,0;0,40091832560628193;0,05843205366523414;15000;0;0;0;23,1;0;3,700000000000001;0;2018-07-14
31;31;0,0;0,3897207841608934;0,056800062057800936;15000;0;0;0;23,6;0;3,5999999999999996;0;2018-07-15
32;32;0,0;0,46114351689232863;0,06720960606048473;15000;0;0;0;23,2;0;4,0;0;2018-07-16
33;33;0,0;0,3983036204110486;0,05805097207198047;15000;0;0;0;23,4;0;4,4;0;2018-07-17
34;34;0,0;0,42806471850812305;0,06238851907364166;15000;0;0;0;22,9;0;4,1;0;2018-07-18
35;35;0,0;0,48106261054286376;0,07011272491241245;15000;0;0;0;23,8;0;4,800000000000001;0;2018-07-19
36;36;0,0;0,3269838754522976;0,04765643807676203;15000;0;0;0;23,4;0;3,799999999999999;0;2018-07-20
37;37;0,0;0,4344826207264495;0,06332389963094685;15000;0;0;0;23,3;0;3,5;0;2018-07-21
38;38;0,0;0,33350686166254634;0,048607134156115464;15000;0;0;0;23,7;0;3,3000000000000007;0;2018-07-22
39;39;0,0;0,4441549111751729;0,06473359272419937;15000;0;0;0;23,8;0;4,199999999999999;0;2018-07-23
40;40;0,27999999999999997;0,4011087660612809;0,0584598095101926;15000;0;0;0;23,6;0;4,200000000000001;0;2018-07-24
41;41;0,06;0,386610937459315;0,056346815803510905;15000;0;0;0;23,5;0;4,300000000000001;0;2018-07-25
42;42;0,36;0,41951270675810387;0,06114210159255706;15000;0;0;0;23,700000000000003;0;3,9000000000000004;0;2018-07-26
43;43;0,0;0,43346438480404703;0,06317549629724613;15000;0;0;0;23,700000000000003;0;4,1;0;2018-07-27
44;44;0,0;0,38578429432645056;0,056226336262376206;15000;0;0;0;23,5;0;4,100000000000001;0;2018-07-28
45;45;0,0;0,4253762259528903;0,061996683302531976;15000;0;0;0;24,0;0;4,0;0;2018-07-29
46;46;0,0;0,39888543863754555;0,058135769477493604;15000;0;0;0;24,0;0;4,199999999999999;0;2018-07-30
47;47;0,0;0,3701594980006152;0,05394909204801183;15000;0;0;0;23,9;0;4,5;0;2018-07-31
48;48;0,3;0,376209819337491;0,054830899335103565;15000;0;0;0;22,5;0;4,300000000000001;0;2018-08-01
49;49;2,48;0,34355977251667674;0,050072300971905334;15000;0;0;0;22,5;0;5,100000000000001;0;2018-08-02
50;50;0,22000000000000003;0,5121044393281494;0,07463693268641698;15000;0;0;0;23,799999999999997;0;4,6;0;2018-08-03
51;51;0,0;0,449278286815913;0,06548030181995887;15000;0;0;0;22,9;0;5,1;0;2018-08-04
52;52;0,0;0,408234454518123;0,059498346747626905;15000;0;0;0;23,6;0;4,0;0;2018-08-05
53;53;0,0;0,4438919658469236;0,06469526961809528;15000;0;0;0;23,3;0;4,300000000000001;0;2018-08-06
54;54;1,04;0,38301265798812784;0,05582238265657265;15000;0;0;0;23,1;0;4,5;0;2018-08-07
55;55;0,0;0,2959628026781602;0,043135255398593315;15000;0;0;0;22,4;0;3,0;0;2018-08-08
56;56;0,9800000000000001;0,29198244987191074;0,042555136771115706;15000;0;0;0;22,6;0;3,4000000000000004;0;2018-08-09
57;57;0,0;0,4717477997287344;0,06875513287780136;15000;0;0;0;23,8;0;4,199999999999999;0;2018-08-10
58;58;0,12;0,30415014381492333;0,04432852376804354;15000;0;0;0;22,4;0;3,799999999999999;0;2018-08-11
59;59;0,8400000000000001;0,279818514553562;0,040782297576929825;15000;0;0;0;22,3;0;3,3000000000000007;0;2018-08-12
60;60;0,27999999999999997;0,27991420764423486;0,04079624441710266;15000;0;0;0;21,5;0;2,8999999999999986;0;2018-08-13
61;61;0,12;0,32522161844003805;0,04739959699533587;15000;0;0;0;21,6;0;3,200000000000001;0;2018-08-14
62;62;0,9800000000000001;0,28756570209918586;0,04191141552816333;15000;0;0;0;22,1;0;3,0999999999999996;0;2018-08-15
63;63;0,0;0,2870146210797285;0,04183109793316657;15000;0;0;0;22,6;0;3,200000000000001;0;2018-08-16
64;64;0,06;0,2986936246125219;0,04353326048747898;15000;0;0;0;22,55;0;3,0500000000000007;0;2018-08-17
65;65;0,0;0,43050743324513785;0,06274453382648755;15000;0;0;0;23,4;0;4,200000000000001;0;2018-08-18
66;66;0,0;0,43653872693893403;0,06362356791966287;15000;0;0;0;23,4;0;4,200000000000001;0;2018-08-19
67;67;0,3;0,3662294175520379;0,05337630039192406;15000;0;0;0;23,1;0;4,1;0;2018-08-20
68;68;0,0;0,37122050650080596;0,054103729293711836;15000;0;0;0;22,6;0;4,200000000000001;0;2018-08-21
69;69;0,0;0,531444831248497;0,07745570834823648;15000;0;0;0;23,6;0;5,200000000000001;0;2018-08-22
70;70;0,381;0,4219008509687073;0,06149016293513419;15000;0;0;0;23,0;0;3,8000000000000007;0;2018-08-23
71;71;0,0;0,4382658481004883;0,06387528810792238;15000;0;0;0;23,6;0;5,6;0;2018-08-24
72;72;0,0;0,3738011106788443;0,054479840816156797;15000;0;0;0;23,3;0;4,300000000000001;0;2018-08-25
73;73;0,0;0,4188888761551703;0,06105118107099321;15000;0;0;0;24,0;0;4,800000000000001;0;2018-08-26
74;74;1,34;0,39089584370964126;0,056971321733966775;15000;0;0;0;23,0;0;4,800000000000001;0;2018-08-27
75;75;0,48;0,30497861051941016;0,053047153919801845;15000;0;0;0;22,6;0;4,200000000000001;0;2018-08-28
76;76;0,0;0,3189368715511106;0,06446593200895556;15000;0;0;0;22,799999999999997;0;4,4;0;2018-08-29
77;77;0,18;0,37495356924254214;0,08687862848217087;15000;0;0;0;23,1;0;4,700000000000001;0;2018-08-30
78;78;0,06;0,28703785657530434;0,07542628073324317;15000;0;0;0;23,6;0;3,799999999999999;0;2018-08-31
79;79;0,0;0,3831570821724225;0,11320465950906959;15000;0;0;0;23,7;0;4,699999999999999;0;2018-09-01
80;80;0,0;0,393977338514017;0,1299598029214216;15000;0;0;0;23,6;0;5,0;0;2018-09-02
81;81;0,0;0,4600473674083668;0,16845018109862928;15000;0;0;0;24,1;0;6,299999999999999;0;2018-09-03
82;82;0,0;0,3913860873315041;0,158310545169601;15000;0;0;0;23,8;0;6,199999999999999;0;2018-09-04
83;83;0,44000000000000006;0,41536480556197386;0,18484905571059626;15000;0;0;0;24,200000000000003;0;5,6;0;2018-09-05
84;84;0,26;0,34612032029227535;0,16889964941018096;15000;0;0;0;23,3;0;5,300000000000001;0;2018-09-06
85;85;0,313;0,35522477760177773;0,1895346238080317;15000;0;0;0;24,1;0;4,9;0;2018-09-07
86;86;0,0;0,39403190373164115;0,22933700170841495;15000;0;0;0;23,9;0;5,299999999999999;0;2018-09-08
87;87;0,0;0,36221245165116106;0,22951720497230815;15000;0;0;0;24,3;0;4,699999999999999;0;2018-09-09
88;88;0,0;0,3321578573420367;0,2287783178426493;15000;0;0;0;25,6;0;5,200000000000001;0;2018-09-10
89;89;0,384;0,1699881326872556;0,12710389109403555;15000;0;0;0;23,1;0;2,700000000000001;0;2018-09-11
90;90;0,1;0,2822158738312764;0,2288618623984938;15000;0;0;0;24,9;0;5,700000000000001;0;2018-09-12
91;91;0,0;0,2828606355913964;0,2486107391320552;15000;0;0;0;25,5;0;5,899999999999999;0;2018-09-13
92;92;0,52;0,22454420120296265;0,21380808634253717;15000;0;0;0;25,2;0;5,199999999999999;0;2018-09-14
93;93;4,18;0,2520857636553954;0,26000243317688276;15000;0;0;0;25,299999999999997;0;5,9;0;2018-09-15
94;94;0,33999999999999997;0,19434198672961683;0,21714283072343435;15000;0;0;0;24,6;0;5,0;0;2018-09-16
95;95;3,38;0,18105487337332354;0,21922681761440535;15000;0;0;0;24,1;0;5,1;0;2018-09-17
96;96;0,0;0,19679540374238005;0,2583882441832031;15000;0;0;0;23,5;0;4,300000000000001;0;2018-09-18
97;97;0,0;0,227063741972842;0,32357123561204265;15000;0;0;0;24,8;0;3,8000000000000007;0;2018-09-19
98;98;0,0;0,18313888924603777;0,28358625457035547;15000;0;0;0;24,700000000000003;0;3,9000000000000004;0;2018-09-20
99;99;0,06;0,16794245613497288;0,28301203977689765;15000;0;0;0;23,7;0;4,5;0;2018-09-21
100;100;0,0;0,13734385246047062;0,25235070914953;15000;0;0;0;22,5;0;5,5;0;2018-09-22
101;101;0,0;0,1884747859281327;0,37842811241246765;15000;0;0;0;23,8;0;4,199999999999999;0;2018-09-23
102;102;1,98;0,11414603496498177;0,251135086713028;15000;0;0;0;23,8;0;5,0;0;2018-09-24
103;103;3,9;0,12492875827497293;0,30215999426681417;15000;0;0;0;23,200000000000003;0;5,4;0;2018-09-25
104;104;0,08;0,11715809962292681;0,31272210330128775;15000;0;0;0;24,0;0;5,199999999999999;0;2018-09-26
105;105;0,62;0,11913013550150775;0,35255871917585807;15000;0;0;0;23,8;0;5,199999999999999;0;2018-09-27
106;106;0,12;0,09443432384305986;0,3115862612500842;15000;0;0;0;23,9;0;4,5;0;2018-09-28
107;107;0,08;0,11599206748033235;0,4295723848283079;15000;0;0;0;25,5;0;5,5;0;2018-09-29
108;108;0,0;0,10347618572631301;0,43368990362975113;15000;0;0;0;25,200000000000003;0;4,4;0;2018-09-30
109;109;0,0;0,08995916037105416;0,4463148836345344;15000;0;0;0;25,4;0;4,799999999999999;0;2018-10-01
110;110;0,0;0,09920079725707079;0,49216546821493823;15000;0;0;0;24,6;0;4,4;0;2018-10-02
111;111;0,0;0,09827675997866661;0,48758103691651505;15000;0;0;0;25,0;0;4,399999999999999;0;2018-10-03
112;112;0,0;0,08332203853207518;0,413386094070317;15000;0;0;0;25,200000000000003;0;4,6;0;2018-10-04
113;113;0,44000000000000006;0,05005946335367811;0,24836029448639768;15000;0;0;0;22,4;0;2,799999999999999;0;2018-10-05
114;114;0,0;0,05828884479796838;0,2891887705031039;15000;0;0;0;22,4;0;3,0;0;2018-10-06
115;115;0,08;0,059151115858462576;0,2934667607204261;15000;0;0;0;23,1;0;4,1;0;2018-10-07
116;116;0,0;0,09266681361099319;0,45974837874188657;15000;0;0;0;23,8;0;5,199999999999999;0;2018-10-08
117;117;1,2;0,07584571449924818;0,3762937659854172;15000;0;0;0;24,0;0;5,0;0;2018-10-09
118;118;0,0;0,08020017022359242;0,39789755143523975;15000;0;0;0;24,8;0;5,800000000000001;0;2018-10-10
119;119;0,0;0,08582906547091596;0,42582422079206655;15000;0;0;0;22,700000000000003;0;6,1;0;2018-10-11
120;120;0,0;0,08068719397126621;0,4003138250684497;15000;0;0;0;23,799999999999997;0;6,4;0;2018-10-12
121;121;0,0;0,08447863874973927;0,41912434117521685;15000;0;0;0;23,700000000000003;0;6,9;0;2018-10-13
122;122;0,0;0,0844710452725168;0,4190866676143593;15000;0;0;0;25,7;0;5,5;0;2018-10-14
123;123;0,22000000000000003;0,05375660321574326;0,2667029350858885;15000;0;0;0;24,2;0;5,0;0;2018-10-15
124;124;0,0;0,06533025773196686;0,32412337172990063;15000;0;0;0;24,9;0;4,9;0;2018-10-16
125;125;0,0;0,08149252826592465;0,40430933459215834;15000;0;0;0;23,5;0;4,899999999999999;0;2018-10-17
126;126;0,9800000000000001;0,06094949676554926;0,302389077935997;15000;0;0;0;22,7;0;4,699999999999999;0;2018-10-18
127;127;0,0;0,0739045028473658;0,3666628217997859;15000;0;0;0;23,6;0;5,0;0;2018-10-19
128;128;0,0;0,0739082588279086;0,36668145636698246;15000;0;0;0;22,9;0;5,1;0;2018-10-20
129;129;0,772;0,08623495478620553;0,42783796171377775;15000;0;0;0;22,5;0;5,5;0;2018-10-21
130;130;0,0;0,0776411042389413;0,3852012431055306;15000;0;0;0;21,1;0;6,299999999999999;0;2018-10-22
131;131;0,0;0,08878440448475163;0,44048656070964853;15000;0;0;0;21,5;0;6,699999999999999;0;2018-10-23
132;132;0,0;0,09586992517664704;0,4756399940014841;15000;0;0;0;23,8;0;8,400000000000002;0;2018-10-24
133;133;0,0;0,091948915180074;0,4561866652561723;15000;0;0;0;22,7;0;7,1000000000000005;0;2018-10-25
134;134;0,0;0,0817327718892139;0,40550125661910946;15000;0;0;0;22,7;0;6,5;0;2018-10-26
135;135;0,0;0,09408717748153607;0,46679523792760236;15000;0;0;0;23,9;0;6,1;0;2018-10-27
136;136;0,772;0,08719325890298926;0,4325924012684008;15000;0;0;0;21,2;0;6,8;0;2018-10-28
137;137;0,0;0,09281681817189076;0,4604925972057484;15000;0;0;0;21,2;0;7,199999999999999;0;2018-10-29
138;138;0,0;0,06855150742865532;0,3401049758000725;15000;0;0;0;21,2;0;7,6000000000000005;0;2018-10-30
139;139;0,0;0,08426754162450137;0,4180770238314631;15000;0;0;0;23,1;0;5,5;0;2018-10-31
140;140;0,0;0,09194789593312933;0,456181608460626;15000;0;0;0;23,8;0;5,800000000000001;0;2018-11-01
141;141;0,0;0,08622538780220111;0,42779049698272587;15000;0;0;0;23,6;0;5,200000000000001;0;2018-11-02
142;142;0,355;0,06935220074581558;0,3440774600162582;15000;0;0;0;24,200000000000003;0;4,6;0;2018-11-03
143;143;0,33799999999999997;0,08573891008015393;0,4253769323494998;15000;0;0;0;23,8;0;4,800000000000001;0;2018-11-04
144;144;0,25;0,08375420798116627;0,41553021876630025;15000;0;0;0;23,299999999999997;0;5,1;0;2018-11-05
145;145;0,0;0,07941846385934784;0,3940192672943569;15000;0;0;0;22,8;0;6,199999999999999;0;2018-11-06
146;146;0,0;0,08597562964610003;0,42655137045111696;15000;0;0;0;23,4;0;6,4;0;2018-11-07
147;147;0,317;0,08067636896739025;0,40026011891639895;15000;0;0;0;21,5;0;7,8999999999999995;0;2018-11-08
148;148;0,32599999999999996;0,07712517966986913;0,3826415836660709;15000;0;0;0;22,7;0;6,300000000000001;0;2018-11-09
149;149;0,0;0,08955484344129899;0,44430894379793706;15000;0;0;0;22,3;0;6,8999999999999995;0;2018-11-10
150;150;0,362;0,09329174252931191;0,4020811873558868;15000;0;0;0;22,799999999999997;0;6,4;0;2018-11-11
151;151;0,0;0,09737225284619676;0,36873762003468413;15000;0;0;0;22,0;0;7,6000000000000005;0;2018-11-12
152;152;0,0;0,09859189972698687;0,33103637164001004;15000;0;0;0;21,0;0;8,600000000000001;0;2018-11-13
153;153;0,0;0,1123730674110807;0,3370119507808004;15000;0;0;0;20,2;0;8,8;0;2018-11-14
154;154;0,426;0,12345392896852252;0,3327058686947967;15000;0;0;0;20,9;0;8,700000000000001;0;2018-11-15
155;155;0,0;0,1400722785097398;0,3409199651499861;15000;0;0;0;24,4;0;5,4;0;2018-11-16
156;156;0,341;0,13086818203752176;0,2888595273475111;15000;0;0;0;22,1;0;4,1;0;2018-11-17
157;157;0,309;0,17116842016899508;0,34382386603704124;15000;0;0;0;24,6;0;4,799999999999999;0;2018-11-18
158;158;0,272;0,19291676341062072;0,3536691790944968;15000;0;0;0;24,700000000000003;0;5,1;0;2018-11-19
159;159;0,0;0,1778130610366484;0,2982257039710682;15000;0;0;0;23,9;0;5,1;0;2018-11-20
160;160;0,0;0,20766121665768936;0,3192583218972834;15000;0;0;0;24,3;0;5,699999999999999;0;2018-11-21
161;161;0,0;0,13637920127557251;0,19249737105347686;15000;0;0;0;22,799999999999997;0;3,4000000000000004;0;2018-11-22
162;162;0,0;0,1255913754330523;0,16295209073916248;15000;0;0;0;22,1;0;2,5;0;2018-11-23
163;163;2,06;0,12347002945727217;0,14739403968458178;15000;0;0;0;22,1;0;2,9000000000000004;0;2018-11-24
164;164;0,0;0,16428320424543094;0,18054864492372005;15000;0;0;0;22,4;0;4,6;0;2018-11-25
165;165;0,0;0,19483445257011597;0,19719194498654619;15000;0;0;0;22,4;0;5,6;0;2018-11-26
166;166;0,45499999999999996;0,21796419920105176;0,2031648882951867;15000;0;0;0;21,3;0;6,7;0;2018-11-27
167;167;0,346;0,23661757112827173;0,2030704437085682;15000;0;0;0;20,1;0;5,9;0;2018-11-28
168;168;0,0;0,26244057753759814;0,2072714195314597;15000;0;0;0;22,200000000000003;0;5,4;0;2018-11-29
169;169;0,0;0,20118820189363706;0,1461045356673732;15000;0;0;0;22,0;0;5,0;0;2018-11-30
170;170;0,0;0,2657904169709903;0,177280624436138;15000;0;0;0;23,0;0;5,800000000000001;0;2018-12-01
